Time [s],Valor real do potenciômetro
8.800073842,3.678
8.820073842,3.683
8.840073842,3.678
8.860073842,3.678
8.880073842,3.683
8.900073842,3.683
8.920073842,3.683
8.940073842,3.683
8.960073842,3.683
8.980073842,3.678
9.000073842,3.678
9.020073842,3.683
9.040073842,3.678
9.060073842,3.678
9.080073842,3.683
9.100073842,3.683
9.120073842,3.678
9.140073842,3.678
9.160073842,3.678
9.180073842,3.683
9.200073842,3.678
9.220073842,3.678
9.240073842,3.678
9.260073842,3.673
9.280073842,3.678
9.300073842,3.678
9.320073842,3.678
9.340073842,3.678
9.360073842,3.673
9.380073842,3.678
9.400073842,3.678
9.420073842,3.678
9.440073842,3.678
9.460073842,3.678
9.480073842,3.678
9.500073842,3.678
9.520073842,3.678
9.540073842,3.673
9.560073842,3.678
9.580073842,3.678
9.600073842,3.678
9.620073842,3.678
9.640073842,3.683
9.660073842,3.673
9.680073842,3.673
9.700073842,3.678
9.720073842,3.673
9.740073842,3.678
9.760073842,3.678
9.780073842,3.678
9.800073842,3.678
9.820073842,3.683
9.840073842,3.678
9.860073842,3.678
9.880073842,3.678
9.900073842,3.683
9.920073842,3.678
9.940073842,3.678
9.960073842,3.673
9.980073842,3.678
10.000073842,3.678
10.020073842,3.683
10.040073842,3.683
10.060073842,3.683
10.080073842,3.678
10.100073842,3.673
10.120073842,3.678
10.140073842,3.678
10.160073842,3.683
10.180073842,3.683
10.200073842,3.683
10.220073842,3.678
10.240073842,3.683
10.260073842,3.678
10.280073842,3.678
10.300073842,3.683
10.320073842,3.678
10.340073842,3.678
10.360073842,3.678
10.380073842,3.678
10.400073842,3.683
10.420073842,3.678
10.440073842,3.683
10.460073842,3.678
10.480073842,3.678
10.500073842,3.678
10.520073842,3.683
10.540073842,3.678
10.560073842,3.678
10.580073842,3.683
10.600073842,3.683
10.620073842,3.683
10.640073842,3.678
10.660073842,3.678
10.680073842,3.678
10.700073842,3.678
10.720073842,3.683
10.740073842,3.683
10.760073842,3.673
10.780073842,3.678
10.800073842,3.683
10.820073842,3.683
10.840073842,3.678
10.860073842,3.678
10.880073842,3.673
10.900073842,3.678
10.920073842,3.683
10.940073842,3.683
10.960073842,3.683
10.980073842,3.678
11.000073842,3.678
11.020073842,3.678
11.040073842,3.673
11.060073842,3.678
11.080073842,3.678
11.100073842,3.678
11.120073842,3.678
11.140073842,3.673
11.160073842,3.678
11.180073842,3.673
11.200073842,3.678
11.220073842,3.678
11.240073842,3.673
11.260073842,3.673
11.280073842,3.673
11.300073842,3.683
11.320073842,3.678
11.340073842,3.678
11.360073842,3.673
11.380073842,3.673
11.400073842,3.673
11.420073842,3.683
11.440073842,3.673
11.460073842,3.678
11.480073842,3.678
11.500073842,3.678
11.520073842,3.678
11.540073842,3.683
11.560073842,3.673
11.580073842,3.678
11.600073842,3.678
11.620073842,3.683
11.640073842,3.678
11.660073842,3.673
11.680073842,3.673
11.700073842,3.678
11.720073842,3.683
11.740073842,3.678
11.760073842,3.678
11.780073842,3.678
11.800073842,3.678
11.820073842,3.678
11.840073842,3.673
11.860073842,3.678
11.880073842,3.678
11.900073842,3.683
11.920073842,3.683
11.940073842,3.678
11.960073842,3.678
11.980073842,3.678
12.000073842,3.683
12.020073842,3.683
12.040073842,3.683
12.060073842,3.683
12.080073842,3.678
12.100073842,3.678
12.120073842,3.683
12.140073842,3.683
12.160073842,3.678
12.180073842,3.683
12.200073842,3.683
12.220073842,3.683
12.240073842,3.678
12.260073842,3.678
12.280073842,3.678
12.300073842,3.678
12.320073842,3.683
12.340073842,3.678
12.360073842,3.678
12.380073842,3.683
12.400073842,3.683
12.420073842,3.678
12.440073842,3.678
12.460073842,3.683
12.480073842,3.683
12.500073842,3.683
12.520073842,3.683
12.540073842,3.683
12.560073842,3.678
12.580073842,3.678
12.600073842,3.683
12.620073842,3.678
12.640073842,3.678
12.660073842,3.673
12.680073842,3.683
12.700073842,3.683
12.720073842,3.678
12.740073842,3.678
12.760073842,3.673
12.780073842,3.678
12.800073842,3.678
12.820073842,3.683
12.840073842,3.678
12.860073842,3.678
12.880073842,3.678
12.900073842,3.678
12.920073842,3.678
12.940073842,3.678
12.960073842,3.678
12.980073842,3.673
13.000073842,3.678
13.020073842,3.678
13.040073842,3.678
13.060073842,3.673
13.080073842,3.678
13.100073842,3.683
13.120073842,3.678
13.140073842,3.678
13.160073842,3.673
13.180073842,3.678
13.200073842,3.678
13.220073842,3.673
13.240073842,3.678
13.260073842,3.678
13.280073842,3.683
13.300073842,3.678
13.320073842,3.678
13.340073842,3.673
13.360073842,3.673
13.380073842,3.678
13.400073842,3.678
13.420073842,3.678
13.440073842,3.673
13.460073842,3.673
13.480073842,3.678
13.500073842,3.683
13.520073842,3.683
13.540073842,3.678
13.560073842,3.678
13.580073842,3.678
13.600073842,3.683
13.620073842,3.678
13.640073842,3.683
13.660073842,3.683
13.680073842,3.683
13.700073842,3.678
13.720073842,3.683
13.740073842,3.678
13.760073842,3.683
13.780073842,3.678
13.800073842,3.683
13.820073842,3.678
13.840073842,3.678
13.860073842,3.683
13.880073842,3.683
13.900073842,3.683
13.920073842,3.678
13.940073842,3.678
13.960073842,3.678
13.980073842,3.683
14.000073842,3.683
14.020073842,3.683
14.040073842,3.683
14.060073842,3.678
14.080073842,3.683
14.100073842,3.678
14.120073842,3.683
14.140073842,3.678
14.160073842,3.678
14.180073842,3.678
14.200073842,3.678
14.220073842,3.683
14.240073842,3.678
14.260073842,3.683
14.280073842,3.678
14.300073842,3.683
14.320073842,3.683
14.340073842,3.678
14.360073842,3.678
14.380073842,3.678
14.400073842,3.683
14.420073842,3.683
14.440073842,3.678
14.460073842,3.678
14.480073842,3.683
14.500073842,3.683
14.520073842,3.678
14.540073842,3.678
14.560073842,3.683
14.580073842,3.678
14.600073842,3.673
14.620073842,3.678
14.640073842,3.678
14.660073842,3.678
14.680073842,3.673
14.700073842,3.678
14.720073842,3.678
14.740073842,3.678
14.760073842,3.673
14.780073842,3.673
14.800073842,3.678
14.820073842,3.673
14.840073842,3.673
14.860073842,3.673
14.880073842,3.678
14.900073842,3.678
14.920073842,3.678
14.940073842,3.673
14.960073842,3.678
14.980073842,3.673
15.000073842,3.678
15.020073842,3.678
15.040073842,3.678
15.060073842,3.678
15.080073842,3.673
15.100073842,3.678
15.120073842,3.678
15.140073842,3.683
15.160073842,3.678
15.180073842,3.678
15.200073842,3.678
15.220073842,3.678
15.240073842,3.678
15.260073842,3.678
15.280073842,3.678
15.300073842,3.683
15.320073842,3.673
15.340073842,3.678
15.360073842,3.678
15.380073842,3.678
15.400073842,3.683
15.420073842,3.678
15.440073842,3.678
15.460073842,3.678
15.480073842,3.683
15.500073842,3.683
15.520073842,3.678
15.540073842,3.678
15.560073842,3.678
15.580073842,3.683
15.600073842,3.683
15.620073842,3.678
15.640073842,3.678
15.660073842,3.678
15.680073842,3.678
15.700073842,3.678
15.720073842,3.678
15.740073842,3.678
15.760073842,3.683
15.780073842,3.683
15.800073842,3.683
15.820073842,3.678
15.840073842,3.678
15.860073842,3.683
15.880073842,3.683
15.900073842,3.683
15.920073842,3.678
15.940073842,3.678
15.960073842,3.678
15.980073842,3.683
16.000073842,3.678
16.020073842,3.678
16.040073842,3.678
16.060073842,3.683
16.080073842,3.683
16.100073842,3.683
16.120073842,3.678
16.140073842,3.678
16.160073842,3.678
16.180073842,3.678
16.200073842,3.683
16.220073842,3.678
16.240073842,3.678
16.260073842,3.683
16.280073842,3.683
16.300073842,3.683
16.320073842,3.673
16.340073842,3.673
16.360073842,3.678
16.380073842,3.673
16.400073842,3.678
16.420073842,3.673
16.440073842,3.678
16.460073842,3.678
16.480073842,3.678
16.500073842,3.673
16.520073842,3.678
16.540073842,3.678
16.560073842,3.678
16.580073842,3.678
16.600073842,3.678
16.620073842,3.678
16.640073842,3.673
16.660073842,3.673
16.680073842,3.678
16.700073842,3.673
16.720073842,3.673
16.740073842,3.678
16.760073842,3.678
16.780073842,3.673
16.800073842,3.678
16.820073842,3.678
16.840073842,3.673
16.860073842,3.673
16.880073842,3.678
16.900073842,3.678
16.920073842,3.678
16.940073842,3.673
16.960073842,3.673
16.980073842,3.678
17.000073842,3.678
17.020073842,3.678
17.040073842,3.678
17.060073842,3.678
17.080073842,3.683
17.100073842,3.673
17.120073842,3.678
17.140073842,3.678
17.160073842,3.678
17.180073842,3.678
17.200073842,3.683
17.220073842,3.678
17.240073842,3.678
17.260073842,3.683
17.280073842,3.683
17.300073842,3.678
17.320073842,3.678
17.340073842,3.678
17.360073842,3.678
17.380073842,3.683
17.400073842,3.683
17.420073842,3.678
17.440073842,3.678
17.460073842,3.678
17.480073842,3.678
17.500073842,3.678
17.520073842,3.678
17.540073842,3.678
17.560073842,3.678
17.580073842,3.678
17.600073842,3.678
17.620073842,3.678
17.640073842,3.673
17.660073842,3.678
17.680073842,3.683
17.700073842,3.683
17.720073842,3.678
17.740073842,3.678
17.760073842,3.678
17.780073842,3.683
17.800073842,3.683
17.820073842,3.678
17.840073842,3.678
17.860073842,3.678
17.880073842,3.678
17.900073842,3.683
17.920073842,3.678
17.940073842,3.678
17.960073842,3.683
17.980073842,3.683
18.000073842,3.678
18.020073842,3.673
18.040073842,3.678
18.060073842,3.673
18.080073842,3.683
18.100073842,3.678
18.120073842,3.678
18.140073842,3.678
18.160073842,3.678
18.180073842,3.678
18.200073842,3.673
18.220073842,3.678
18.240073842,3.678
18.260073842,3.673
18.280073842,3.678
18.300073842,3.678
18.320073842,3.678
18.340073842,3.673
18.360073842,3.678
18.380073842,3.678
18.400073842,3.678
18.420073842,3.678
18.440073842,3.673
18.460073842,3.678
18.480073842,3.678
18.500073842,3.678
18.520073842,3.673
18.540073842,3.678
18.560073842,3.678
18.580073842,3.678
18.600073842,3.673
18.620073842,3.673
18.640073842,3.678
18.660073842,3.678
18.680073842,3.673
18.700073842,3.678
18.720073842,3.678
18.740073842,3.678
18.760073842,3.678
18.780073842,3.678
18.800073842,3.678
18.820073842,3.673
18.840073842,3.678
18.860073842,3.678
18.880073842,3.678
18.900073842,3.678
18.920073842,3.673
18.940073842,3.678
18.960073842,3.673
18.980073842,3.678
19.000073842,3.678
19.020073842,3.678
19.040073842,3.673
19.060073842,3.683
19.080073842,3.683
19.100073842,3.678
19.120073842,3.673
19.140073842,3.678
19.160073842,3.678
19.180073842,3.678
19.200073842,3.678
19.220073842,3.683
19.240073842,3.678
19.260073842,3.683
19.280073842,3.683
19.300073842,3.678
19.320073842,3.678
19.340073842,3.683
19.360073842,3.678
19.380073842,3.678
19.400073842,3.683
19.420073842,3.678
19.440073842,3.683
19.460073842,3.678
19.480073842,3.678
19.500073842,3.678
19.520073842,3.678
19.540073842,3.673
19.560073842,3.683
19.580073842,3.678
19.600073842,3.678
19.620073842,3.683
19.640073842,3.678
19.660073842,3.683
19.680073842,3.683
19.700073842,3.678
19.720073842,3.678
19.740073842,3.678
19.760073842,3.683
19.780073842,3.683
19.800073842,3.678
19.820073842,3.678
19.840073842,3.678
19.860073842,3.678
19.880073842,3.683
19.900073842,3.678
19.920073842,3.683
19.940073842,3.678
19.960073842,3.678
19.980073842,3.683
20.000073842,3.678
20.020073842,3.683
20.040073842,3.678
20.060073842,3.683
20.080073842,3.683
20.100073842,3.678
20.120073842,3.683
20.140073842,3.683
20.160073842,3.683
20.180073842,3.678
20.200073842,3.678
20.220073842,3.678
